English,Japanese,context
regionally,	購買,Try to use the word 'regionally' in a short sentence.
regions,範囲,We found several regions.
regulate,	範囲,Try to use the word 'regulate' in a short sentence.
deregulated,	範囲,I deregulated the report.
deregulates,	まで,We found several deregulates.
deregulating,地域,They are deregulating the results.
deregulation,	リージョナル,Try to use the word 'deregulation' in a short sentence.
regulated,	地方,I regulated the report.
regulates,	地域,We found several regulates.
regulating,治,They are regulating the results.
regulation,	規制 緩和,Try to use the word 'regulation' in a short sentence.
regulations,	規制緩和,We found several regulations.
regulator,	規制緩和,She is an regulator.
regulators,	ディレギュレーション,We found several regulators.
regulatory,	規制,Try to use the word 'regulatory' in a short sentence.
unregulated,	調節,I unregulated the report.
relevant,	規制,Try to use the word 'relevant' in a short sentence.
irrelevance,	規制,Try to use the word 'irrelevance' in a short sentence.
irrelevant,	規則,Try to use the word 'irrelevant' in a short sentence.
relevance,	制御器,Try to use the word 'relevance' in a short sentence.
reside,	レギュレータ,Try to use the word 'reside' in a short sentence.
resided,	規制,I resided the report.
residence,	野放図な,Try to use the word 'residence' in a short sentence.
resident,関連した,Try to use the word 'resident' in a short sentence.
residential,	見当違い,Try to use the word 'residential' in a short sentence.
residents,	無関係,We found several residents.
resides,	関連性,We found several resides.
residing,住む,They are residing the results.
resource,	住んで,Try to use the word 'resource' in a short sentence.
resourced,	居住,I resourced the report.
resourceful,	住民,Try to use the word 'resourceful' in a short sentence.
resources,	住宅,We found several resources.
resourcing,	住民,They are resourcing the results.
unresourceful,	存在,Try to use the word 'unresourceful' in a short sentence.
under-resourced,	居住,I under-resourced the report.
restrict,資源,Try to use the word 'restrict' in a short sentence.
restricted,	リソース供給,I restricted the report.
restricting,	才略の有る,They are restricting the results.
restriction,	リソース,Try to use the word 'restriction' in a short sentence.
restrictions,	リソーシング,We found several restrictions.
restrictive,	機知に乏しい,Try to use the word 'restrictive' in a short sentence.
restrictively,	リソース不足,Try to use the word 'restrictively' in a short sentence.
restricts,限る,We found several restricts.
unrestricted,	制限,I unrestricted the report.
unrestrictive,	制限,Try to use the word 'unrestrictive' in a short sentence.
secure,	拘束,Try to use the word 'secure' in a short sentence.
insecure,	制限,Try to use the word 'insecure' in a short sentence.
insecurities,	限定的,We found several insecurities.
insecurity,	制限的に,Try to use the word 'insecurity' in a short sentence.
secured,	制限,I secured the report.
securely,	無制限,Try to use the word 'securely' in a short sentence.
secures,	制限なし,We found several secures.
securing,牢,They are securing the results.
securities,	不安,We found several securities.
security,	不安,Try to use the word 'security' in a short sentence.
seek,	不安,Try to use the word 'seek' in a short sentence.
seeking,	確保,They are seeking the results.
seeks,	安全,We found several seeks.
sought,	確保,Try to use the word 'sought' in a short sentence.
select,	確保,Select the best answer.
selected,	証券,I selected the report.
selecting,	安全,They are selecting the results.
selection,探す,Try to use the word 'selection' in a short sentence.
selections,	求めて,We found several selections.
selective,	シーク,Try to use the word 'selective' in a short sentence.
selectively,	求めた,Try to use the word 'selectively' in a short sentence.
selector,選ぶ,She is an selector.
selectors,	入選,We found several selectors.
selects,	選択,We found several selects.
site,	選定,Try to use the word 'site' in a short sentence.
sites,	選択,We found several sites.
strategy,	選択,Try to use the word 'strategy' in a short sentence.
strategic,	選択,Try to use the word 'strategic' in a short sentence.
strategies,	セレクタ,We found several strategies.
strategically,	セレクター,Try to use the word 'strategically' in a short sentence.
strategist,	選択,Try to use the word 'strategist' in a short sentence.
strategists,敷地,We found several strategists.
survey,	サイト,Try to use the word 'survey' in a short sentence.
surveyed,戦略,I surveyed the report.
surveying,	戦略的な,They are surveying the results.
surveys,	戦略,We found several surveys.
text,	戦略 的,Try to use the word 'text' in a short sentence.
texts,	戦略家,We found several texts.
textual,	戦略,Try to use the word 'textual' in a short sentence.
tradition,アンケート,Try to use the word 'tradition' in a short sentence.
non traditional,	調査,Try to use the word 'non traditional' in a short sentence.
traditional,	測量,Try to use the word 'traditional' in a short sentence.
traditionalist,	調査,Try to use the word 'traditionalist' in a short sentence.
traditionally,テキスト,Try to use the word 'traditionally' in a short sentence.
traditions,	テキスト,We found several traditions.
transfer,	テキスト,She is an transfer.
transferable,伝統,Try to use the word 'transferable' in a short sentence.
transference,	非伝統的な,Try to use the word 'transference' in a short sentence.
transferred,	トラディショナル,I transferred the report.
transferring,	伝統主義者,They are transferring the results.
transfers,	伝統的,We found several transfers.
Sublist 3 of Academic Word List,	伝統,Try to use the word 'Sublist 3 of Academic Word List' in a short sentence.
alternative,移転,Try to use the word 'alternative' in a short sentence.
alternatively,	譲渡,Try to use the word 'alternatively' in a short sentence.
alternatives,	転移,We found several alternatives.
circumstance,	転送,Try to use the word 'circumstance' in a short sentence.
circumstances,	転送,We found several circumstances.
comment,	転送,Try to use the word 'comment' in a short sentence.
commentaries,,We found several commentaries.
commentary,アカデミックワードリストのサブリスト3,Try to use the word 'commentary' in a short sentence.
commentator,,She is an commentator.
commentators,,We found several commentators.
commented,オルターナティブ,I commented the report.
commenting,	また,They are commenting the results.
comments,	選択肢,We found several comments.
compensate,事情,Try to use the word 'compensate' in a short sentence.
compensated,	状況,I compensated the report.
compensates,コメント,We found several compensates.
compensating,	論評,They are compensating the results.
compensation,	解説,Try to use the word 'compensation' in a short sentence.
compensations,	コメンテーター,We found several compensations.
compensatory,	コメンテーター,Try to use the word 'compensatory' in a short sentence.
component,	コメント,Try to use the word 'component' in a short sentence.
componentry,	コメント,Try to use the word 'componentry' in a short sentence.
components,	コメント,We found several components.
consent,補償する,Try to use the word 'consent' in a short sentence.
consensus,	補償,We found several consensus.
consented,	補正,I consented the report.
consenting,	補償,They are consenting the results.
consents,	補償,We found several consents.
considerable,	補償,Try to use the word 'considerable' in a short sentence.
considerably,	代償,Try to use the word 'considerably' in a short sentence.
constant,コンポーネント,Try to use the word 'constant' in a short sentence.
constancy,	コンポーネント,Try to use the word 'constancy' in a short sentence.
constantly,	コンポーネント,Try to use the word 'constantly' in a short sentence.
constants,同意,We found several constants.
inconstancy,	コンセンサス,Try to use the word 'inconstancy' in a short sentence.
inconstantly,	同意,Try to use the word 'inconstantly' in a short sentence.
constrain,	同意,Try to use the word 'constrain' in a short sentence.
constrained,	同意,I constrained the report.
constraining,かなり,They are constraining the results.
constrains,	大分,We found several constrains.
constraint,定数,Try to use the word 'constraint' in a short sentence.
constraints,	恒常,We found several constraints.
unconstrained,	絶えず,I unconstrained the report.
contribute,	定数,Try to use the word 'contribute' in a short sentence.
contributed,	心変わり,I contributed the report.
contributes,	不定休,We found several contributes.
contributing,制約,They are contributing the results.
contribution,	制約,Try to use the word 'contribution' in a short sentence.
contributions,	制約,We found several contributions.
contributor,	制約,She is an contributor.
contributors,	制約,We found several contributors.
convene,	制約,Try to use the word 'convene' in a short sentence.
convention,	洒脱,Try to use the word 'convention' in a short sentence.
convenes,貢献する,We found several convenes.
convened,	貢献,I convened the report.
convening,	貢献,They are convening the results.
conventional,	貢献,Try to use the word 'conventional' in a short sentence.
conventionally,	寄付,Try to use the word 'conventionally' in a short sentence.
conventions,	貢献,We found several conventions.
unconventional,	投稿者,Try to use the word 'unconventional' in a short sentence.
coordinate,	貢献,Try to use the word 'coordinate' in a short sentence.
coordinated,呼び集める,I coordinated the report.
coordinates,	大会,We found several coordinates.
coordinating,	規則	,They are coordinating the results.
coordination,	招集,Try to use the word 'coordination' in a short sentence.
coordinator,	招集,She is an coordinator.
coordinators,	コンベンショナル,We found several coordinators.
co-ordinate,	従来は,Try to use the word 'co-ordinate' in a short sentence.
co ordinated,	規則,I co ordinated the report.
co ordinates,	奇抜,We found several co ordinates.
co ordinating,座標,They are co ordinating the results.
co ordination,	調整,Try to use the word 'co ordination' in a short sentence.
co ordinator,	座標,She is an co ordinator.
co ordinators,	調整,We found several co ordinators.
core,	コーディネーション,Try to use the word 'core' in a short sentence.
cores,	コーディネーター,We found several cores.
coring,	コーディネーター,They are coring the results.
cored,	コーディネート,I cored the report.
corporate,	調整,Try to use the word 'corporate' in a short sentence.
corporates,	座標,We found several corporates.
corporation,	調整,Try to use the word 'corporation' in a short sentence.
corporations,	コーディネーション,We found several corporations.
correspond,	コーディネーター,Try to use the word 'correspond' in a short sentence.
corresponded,	コーディネーター,I corresponded the report.
correspondence,コア,Try to use the word 'correspondence' in a short sentence.
corresponding,	コア,They are corresponding the results.
correspondingly,	コアリング,Try to use the word 'correspondingly' in a short sentence.
corresponds,	入り,We found several corresponds.
criteria,企業,Try to use the word 'criteria' in a short sentence.
criterion,	法人,Try to use the word 'criterion' in a short sentence.
deduce,	会社,Try to use the word 'deduce' in a short sentence.
deduced,	企業,I deduced the report.
deduces,対応,We found several deduces.
deducing,	対応,They are deducing the results.
deduction,	対応,Try to use the word 'deduction' in a short sentence.
deductions,	該当,We found several deductions.
demonstrate,	対応,Try to use the word 'demonstrate' in a short sentence.
demonstrable,	対応,Try to use the word 'demonstrable' in a short sentence.
demonstrably,条件,Try to use the word 'demonstrably' in a short sentence.
demonstrated,	基準,I demonstrated the report.
demonstrates,推測,We found several demonstrates.
demonstrating,	推定,They are demonstrating the results.
demonstration,	推論,Try to use the word 'demonstration' in a short sentence.
demonstrations,	控除,We found several demonstrations.
demonstrative,	控除,Try to use the word 'demonstrative' in a short sentence.
demonstratively,	控除,Try to use the word 'demonstratively' in a short sentence.
demonstrator,証明する,She is an demonstrator.
demonstrators,	実証,We found several demonstrators.
document,	明白,Try to use the word 'document' in a short sentence.
documentation,	実証,Try to use the word 'documentation' in a short sentence.
documented,	示します,I documented the report.
documenting,	示す,They are documenting the results.
documents,	デモ,We found several documents.
dominate,	デモ,Try to use the word 'dominate' in a short sentence.
dominance,	指示詞,Try to use the word 'dominance' in a short sentence.
dominant,	デモンストレーション的に,Try to use the word 'dominant' in a short sentence.
dominated,	デモンストレーター,I dominated the report.
dominates,	デモ 隊,We found several dominates.
dominating,文書,They are dominating the results.
domination,	ドキュメンテーション,Try to use the word 'domination' in a short sentence.
emphasis,	記載,We found several emphasis.
emphasise,	文書,Try to use the word 'emphasise' in a short sentence.
emphasised,	書類,I emphasised the report.
emphasising,支配する,They are emphasising the results.
emphasize,	優性,Try to use the word 'emphasize' in a short sentence.
emphasized,	ドミナント,I emphasized the report.
emphasizes,	支配,We found several emphasizes.
emphasizing,	支配,They are emphasizing the results.
emphatic,	支配,Try to use the word 'emphatic' in a short sentence.
emphatically,	支配,Try to use the word 'emphatically' in a short sentence.
ensure,強調,Try to use the word 'ensure' in a short sentence.
ensured,	強調,I ensured the report.
ensures,	強調,We found several ensures.
ensuring,	強調,They are ensuring the results.
exclude,	強調する,Try to use the word 'exclude' in a short sentence.
excluded,	強調,I excluded the report.
excludes,	強調,We found several excludes.
excluding,	強調,They are excluding the results.
exclusion,	強調,Try to use the word 'exclusion' in a short sentence.
exclusionary,	きっぱり,Try to use the word 'exclusionary' in a short sentence.
exclusionist,確保,Try to use the word 'exclusionist' in a short sentence.
exclusions,	確保,We found several exclusions.
exclusive,	により,Try to use the word 'exclusive' in a short sentence.
exclusively,	確保,Try to use the word 'exclusively' in a short sentence.
framework,除外する,Try to use the word 'framework' in a short sentence.
frameworks,	除外,We found several frameworks.
fund,	除外,Try to use the word 'fund' in a short sentence.
funded,	除く,I funded the report.
funder,	除外,She is an funder.
funders,	排他的,We found several funders.
funding,	排他主義者,They are funding the results.
funds,	除外,We found several funds.
illustrate,	排他的,This chart helps to illustrate the point.
illustrated,	だけ,I illustrated the report.
illustrates,フレームワーク,We found several illustrates.
illustrating,	フレームワーク,They are illustrating the results.
illustration,基金,Try to use the word 'illustration' in a short sentence.
illustrations,	資金,We found several illustrations.
illustrative,	資金提供者,Try to use the word 'illustrative' in a short sentence.
immigrate,	出資,Try to use the word 'immigrate' in a short sentence.
immigrant,	融資,Try to use the word 'immigrant' in a short sentence.
immigrants,	元手,We found several immigrants.
immigrated,説明,I immigrated the report.
immigrates,	示す,We found several immigrates.
immigrating,	示します,They are immigrating the results.
immigration,	示す,Try to use the word 'immigration' in a short sentence.
imply,	図,Try to use the word 'imply' in a short sentence.
implied,	イラスト,I implied the report.
implies,	例示,We found several implies.
implying,移民する,They are implying the results.
initial,	移民,Try to use the word 'initial' in a short sentence.
initially,	移民,Try to use the word 'initially' in a short sentence.
instance,	移住,Try to use the word 'instance' in a short sentence.
instances,	移民,We found several instances.
interact,	移住,Try to use the word 'interact' in a short sentence.
interacted,	イミグレーション,I interacted the report.
interacting,ほのめかす,They are interacting the results.
interaction,	暗黙,Try to use the word 'interaction' in a short sentence.
interactions,	意味,We found several interactions.
interactive,	意味,Try to use the word 'interactive' in a short sentence.
interactively,イニシャル,Try to use the word 'interactively' in a short sentence.
interacts,	最初,We found several interacts.
justify,例,Try to use the word 'justify' in a short sentence.
justifiable,	インスタンス,Try to use the word 'justifiable' in a short sentence.
justifiably,相呼応する,Try to use the word 'justifiably' in a short sentence.
justification,	相互 作用,Try to use the word 'justification' in a short sentence.
justifications,	相互 作用,We found several justifications.
justified,	相互作用,I justified the report.
justifies,	相互 作用,We found several justifies.
justifying,	インテラクティブ,They are justifying the results.
unjustified,	対話的,I unjustified the report.
layer,	対話,She is an layer.
layered,言い開く,I layered the report.
layering,	正当,They are layering the results.
layers,	正当,We found several layers.
link,	ジャスティフィケーション,Try to use the word 'link' in a short sentence.
linkage,	正当 化,Try to use the word 'linkage' in a short sentence.
linkages,	正当 化,We found several linkages.
linked,	正当 化,I linked the report.
linking,	正当 化,They are linking the results.
links,	不当,We found several links.
locate,層,Try to use the word 'locate' in a short sentence.
located,	層状,I located the report.
locating,	取り木,They are locating the results.
location,	層,Try to use the word 'location' in a short sentence.
locations,リンク,We found several locations.
relocate,	連動,Try to use the word 'relocate' in a short sentence.
relocated,	連携,I relocated the report.
relocates,	リンク,We found several relocates.
relocating,	リンク,They are relocating the results.
relocation,	リンクス,Try to use the word 'relocation' in a short sentence.
maximise,見付ける,Try to use the word 'maximise' in a short sentence.
max,	位置,Try to use the word 'max' in a short sentence.
maximised,	検索,I maximised the report.
maximises,	場所,We found several maximises.
maximising,	場所,They are maximising the results.
maximisation,	移転,Try to use the word 'maximisation' in a short sentence.
maximize,	移転,Try to use the word 'maximize' in a short sentence.
maximized,	移転,I maximized the report.
maximizes,	移転,We found several maximizes.
maximizing,	移転,They are maximizing the results.
maximization,最大限,Try to use the word 'maximization' in a short sentence.
maximum,	マックス,Try to use the word 'maximum' in a short sentence.
minor,	最大化,She is an minor.
minorities,	最大,We found several minorities.
minority,	最大限,Try to use the word 'minority' in a short sentence.
minors,	最大化,We found several minors.
negate,	最大化する,Try to use the word 'negate' in a short sentence.
negative,	最大,Try to use the word 'negative' in a short sentence.
negated,	マキシム,I negated the report.
negates,	最大,We found several negates.
negating,	最大化,They are negating the results.
negatively,	最大,Try to use the word 'negatively' in a short sentence.
negatives,マイナー,We found several negatives.
outcome,	少数,Try to use the word 'outcome' in a short sentence.
outcomes,	少数,We found several outcomes.
partner,	未成年 者,She is an partner.
partners,打ち消す,We found several partners.
partnership,	－,Try to use the word 'partnership' in a short sentence.
partnerships,	否定,We found several partnerships.
philosophy,	否定,Try to use the word 'philosophy' in a short sentence.
philosopher,	否定,She is an philosopher.
philosophers,	負,We found several philosophers.
philosophical,	ネガ,Try to use the word 'philosophical' in a short sentence.
philosophically,結果,Try to use the word 'philosophically' in a short sentence.
philosophies,	結果,We found several philosophies.
philosophise,パートナー,Try to use the word 'philosophise' in a short sentence.
philosophised,	パートナー,I philosophised the report.
philosophises,	パートナーシップ,We found several philosophises.
philosophising,	パートナーシップ,They are philosophising the results.
philosophize,哲学,Try to use the word 'philosophize' in a short sentence.
philosophized,	哲人,I philosophized the report.
philosophizes,	哲学 者,We found several philosophizes.
philosophizing,	哲学的,They are philosophizing the results.
physical,	哲学,Try to use the word 'physical' in a short sentence.
physically,	哲学,Try to use the word 'physically' in a short sentence.
proportion,	フィロソフィー,Try to use the word 'proportion' in a short sentence.
disproportion,	哲学的,Try to use the word 'disproportion' in a short sentence.
disproportionate,	哲学的,Try to use the word 'disproportionate' in a short sentence.
disproportionately,	哲学,Try to use the word 'disproportionately' in a short sentence.
proportional,	思索,Try to use the word 'proportional' in a short sentence.
proportionally,	哲学的,Try to use the word 'proportionally' in a short sentence.
proportionate,	哲学,Try to use the word 'proportionate' in a short sentence.
proportionately,	哲学,Try to use the word 'proportionately' in a short sentence.
proportions,形而下,We found several proportions.
publish,	物理的,Try to use the word 'publish' in a short sentence.
published,比率,I published the report.
publisher,	不均衡,She is an publisher.
publishers,	不均衡,We found several publishers.
publishes,	偏って,We found several publishes.
publishing,	比例,They are publishing the results.
unpublished,	比例,I unpublished the report.
react,	比例,Try to use the word 'react' in a short sentence.
reacted,	比例,I reacted the report.
reacts,	割合,We found several reacts.
reacting,著す,They are reacting the results.
reaction,	公開,Try to use the word 'reaction' in a short sentence.
reactionaries,	発行者,We found several reactionaries.
reactionary,	出版 社,Try to use the word 'reactionary' in a short sentence.
reactions,	発行,We found several reactions.
reactive,	出版,Try to use the word 'reactive' in a short sentence.
reactivate,	未発表,Try to use the word 'reactivate' in a short sentence.
reactivation,反応する,Try to use the word 'reactivation' in a short sentence.
reactor,	反応,She is an reactor.
reactors,	反応,We found several reactors.
register,	反応,She is an register.
deregister,	反応,She is an deregister.
deregistered,	反動,I deregistered the report.
deregistering,	反動,They are deregistering the results.
deregisters,	反応,We found several deregisters.
deregistration,	反応,Try to use the word 'deregistration' in a short sentence.
registered,	再 アクティブ 化,I registered the report.
registering,	再 アクティブ 化,They are registering the results.
registers,	原子炉,We found several registers.
registration,	原子炉,Try to use the word 'registration' in a short sentence.
rely,登録する,Try to use the word 'rely' in a short sentence.
reliability,	登録解除,Try to use the word 'reliability' in a short sentence.
reliable,	登録抹消,Try to use the word 'reliable' in a short sentence.
reliably,	登録解除,Try to use the word 'reliably' in a short sentence.
reliance,	登録解除,Try to use the word 'reliance' in a short sentence.
reliant,	登録解除,Try to use the word 'reliant' in a short sentence.
relied,	登録,I relied the report.
relies,	登録,We found several relies.
relying,	レジスタ,They are relying the results.
unreliable,	登録,Try to use the word 'unreliable' in a short sentence.
remove,頼る,Try to use the word 'remove' in a short sentence.
removable,	確実,Try to use the word 'removable' in a short sentence.
removal,	頼もしい,Try to use the word 'removal' in a short sentence.
removals,	確実,We found several removals.
removed,	信頼,I removed the report.
removes,	リライアント,We found several removes.
removing,	頼って,They are removing the results.
scheme,	依存,Try to use the word 'scheme' in a short sentence.
schematic,	頼る,Try to use the word 'schematic' in a short sentence.
schematically,	危うい,Try to use the word 'schematically' in a short sentence.
schemed,取り去る,I schemed the report.
schemes,	リムーバブル,We found several schemes.
scheming,	除去,They are scheming the results.
sequence,	削除,Try to use the word 'sequence' in a short sentence.
sequenced,	削除,I sequenced the report.
sequences,	削除,We found several sequences.
sequencing,	削除,They are sequencing the results.
sequential,計画,Try to use the word 'sequential' in a short sentence.
sequentially,	スケマティック,Try to use the word 'sequentially' in a short sentence.
sex,	概略的に,Try to use the word 'sex' in a short sentence.
sexes,	スキーム,We found several sexes.
sexism,	スキーム,Try to use the word 'sexism' in a short sentence.
sexual,	工夫,Try to use the word 'sexual' in a short sentence.
sexuality,順序,Try to use the word 'sexuality' in a short sentence.
sexually,	シーケンス,Try to use the word 'sexually' in a short sentence.
shift,	シーケンス,Try to use the word 'shift' in a short sentence.
shifted,	シークエンシング,I shifted the report.
shifting,	シーケンシャル,They are shifting the results.
shifts,	順次,We found several shifts.
specify,性,Try to use the word 'specify' in a short sentence.
specifiable,	男女,Try to use the word 'specifiable' in a short sentence.
specified,	性差別,I specified the report.
specifies,	性的,We found several specifies.
specifying,	有性,They are specifying the results.
unspecified,	性的,I unspecified the report.
sufficient,動く,Try to use the word 'sufficient' in a short sentence.
sufficiency,	シフト,Try to use the word 'sufficiency' in a short sentence.
insufficient,	シフト,Try to use the word 'insufficient' in a short sentence.
insufficiently,	シフト,Try to use the word 'insufficiently' in a short sentence.
sufficiently,指定,Try to use the word 'sufficiently' in a short sentence.
task,	指定可能,Try to use the word 'task' in a short sentence.
tasks,	指定,We found several tasks.
technical,	指定,Try to use the word 'technical' in a short sentence.
technically,	指定,Try to use the word 'technically' in a short sentence.
technique,	未指定,Try to use the word 'technique' in a short sentence.
techniques,足りる,We found several techniques.
technology,	充足,Try to use the word 'technology' in a short sentence.
technological,	不十分,Try to use the word 'technological' in a short sentence.
technologically,	不十分,Try to use the word 'technologically' in a short sentence.
valid,	十分,Try to use the word 'valid' in a short sentence.
invalidate,タスク,Try to use the word 'invalidate' in a short sentence.
invalidity,	用事,Try to use the word 'invalidity' in a short sentence.
validate,テクニカル,Try to use the word 'validate' in a short sentence.
validated,	技術的,I validated the report.
validating,技術,They are validating the results.
validation,	技術,Try to use the word 'validation' in a short sentence.
validity,テクノロジー,Try to use the word 'validity' in a short sentence.
validly,	技術,Try to use the word 'validly' in a short sentence.
volume,	技術的,Try to use the word 'volume' in a short sentence.
volumes,有効,We found several volumes.
vol,	無効,Try to use the word 'vol' in a short sentence.
Sublist 4 of the Academic Word List,	無効,Try to use the word 'Sublist 4 of the Academic Word List' in a short sentence.
access,	検証,Try to use the word 'access' in a short sentence.
accessed,	検証,I accessed the report.
accesses,	検証,We found several accesses.
accessibility,	検証,Try to use the word 'accessibility' in a short sentence.
accessible,	有効,Try to use the word 'accessible' in a short sentence.
accessing,	有効,They are accessing the results.
inaccessible,容積,Try to use the word 'inaccessible' in a short sentence.
adequate,	ボリューム,Try to use the word 'adequate' in a short sentence.
adequacy,	ボリューム,Try to use the word 'adequacy' in a short sentence.
adequately,,Try to use the word 'adequately' in a short sentence.
inadequacies,,We found several inadequacies.
inadequacy,,Try to use the word 'inadequacy' in a short sentence.
inadequate,アカデミックワードリストのサブリスト4,Try to use the word 'inadequate' in a short sentence.
inadequately,,Try to use the word 'inadequately' in a short sentence.
annual,アクセス,Try to use the word 'annual' in a short sentence.
annually,	アクセス,Try to use the word 'annually' in a short sentence.
apparent,	アクセス,Try to use the word 'apparent' in a short sentence.
apparently,	アクセシビリティ,Try to use the word 'apparently' in a short sentence.
approximate,	アクセス,Try to use the word 'approximate' in a short sentence.
approximated,	アクセス,I approximated the report.
approximately,	アクセス,Try to use the word 'approximately' in a short sentence.
approximates,十分,We found several approximates.
approximating,	剴切,They are approximating the results.
approximation,	十分,Try to use the word 'approximation' in a short sentence.
approximations,	不備,We found several approximations.
attitude,	不適当,Try to use the word 'attitude' in a short sentence.
attitudes,	不十分,We found several attitudes.
attribute,	不十分,Try to use the word 'attribute' in a short sentence.
attributable,一年生,Try to use the word 'attributable' in a short sentence.
attributed,	毎年,I attributed the report.
attributes,一目瞭然,We found several attributes.
attributing,	どうやら,They are attributing the results.
attribution,アバウト,Try to use the word 'attribution' in a short sentence.
civil,	近似,Try to use the word 'civil' in a short sentence.
code,	約,Try to use the word 'code' in a short sentence.
coded,	近似,I coded the report.
codes,	近似,We found several codes.
coding,	近似,They are coding the results.
commit,	近似,Try to use the word 'commit' in a short sentence.
commitment,姿勢,Try to use the word 'commitment' in a short sentence.
commitments,	態度,We found several commitments.
commits,属性,We found several commits.
committed,	起因,I committed the report.
committing,	起因,They are committing the results.
communicate,	属性,They communicate by email daily.
communicable,	帰,Try to use the word 'communicable' in a short sentence.
communicated,	帰属,I communicated the report.
communicates,民事上,We found several communicates.
communicating,コード,They are communicating the results.
communication,	コード,Try to use the word 'communication' in a short sentence.
communications,	コード,We found several communications.
communicative,	コーディング,Try to use the word 'communicative' in a short sentence.
communicatively,犯す,Try to use the word 'communicatively' in a short sentence.
uncommunicative,	言質,Try to use the word 'uncommunicative' in a short sentence.
concentrate,	コミットメント,Try to use the word 'concentrate' in a short sentence.
concentrated,	コミット,I concentrated the report.
concentrates,	コミット,We found several concentrates.
concentrating,	コミット,They are concentrating the results.
concentration,伝える,Try to use the word 'concentration' in a short sentence.
confer,	伝染,She is an confer.
conference,	伝達,Try to use the word 'conference' in a short sentence.
conferences,	通信,We found several conferences.
conferred,	通信,I conferred the report.
conferring,	通信,They are conferring the results.
confers,	通信,We found several confers.
contrast,	コミュニケーション,Try to use the word 'contrast' in a short sentence.
contrasted,	コミュニケーション,I contrasted the report.
contrasting,	コミュニケーションが取れない,They are contrasting the results.
contrastive,凝らす,Try to use the word 'contrastive' in a short sentence.
contrasts,	耑,We found several contrasts.
cycle,	集中,Try to use the word 'cycle' in a short sentence.
cycled,	集中,I cycled the report.
cycles,	濃度,We found several cycles.
cyclic,諮る,Try to use the word 'cyclic' in a short sentence.
cyclical,	会議,Try to use the word 'cyclical' in a short sentence.
cycling,	カンファレンス,They are cycling the results.
debate,	授与,Try to use the word 'debate' in a short sentence.
debatable,	授与,Try to use the word 'debatable' in a short sentence.
debated,	与える,I debated the report.
debates,対照,We found several debates.
debating,	対照 的,They are debating the results.
despite,	対照的な,Try to use the word 'despite' in a short sentence.
dimension,	対照,Try to use the word 'dimension' in a short sentence.
dimensional,	コントラスト,Try to use the word 'dimensional' in a short sentence.
dimensions,サイクル,We found several dimensions.
multidimensional,	循環,Try to use the word 'multidimensional' in a short sentence.
domestic,	サイクル,Try to use the word 'domestic' in a short sentence.
domestically,	サイクリック,Try to use the word 'domestically' in a short sentence.
domesticate,	循環,Try to use the word 'domesticate' in a short sentence.
domesticated,	サイクリング,I domesticated the report.
domesticating,討論,They are domesticating the results.
domestics,	余地,We found several domestics.
emerge,	議論,Try to use the word 'emerge' in a short sentence.
emerged,	議論,I emerged the report.
emergence,	議論,Try to use the word 'emergence' in a short sentence.
emergent,にもかかわらず,Try to use the word 'emergent' in a short sentence.
emerges,次元,We found several emerges.
emerging,	次元の,They are emerging the results.
error,	寸法,She is an error.
erroneous,	多次元,We found several erroneous.
erroneously,国内,Try to use the word 'erroneously' in a short sentence.
errors,	国内,We found several errors.
ethnic,	飼いならす,Try to use the word 'ethnic' in a short sentence.
ethnicity,	家畜,Try to use the word 'ethnicity' in a short sentence.
goal,	家畜化,Try to use the word 'goal' in a short sentence.
goals,	国内,We found several goals.
grant,現れる,Try to use the word 'grant' in a short sentence.
granted,	現れた,I granted the report.
granting,	現出,They are granting the results.
grants,	新興の,We found several grants.
hence,	現れる,Try to use the word 'hence' in a short sentence.
hypothesis,	新興,We found several hypothesis.
hypotheses,エラー,We found several hypotheses.
hypothesise,	誤った,Try to use the word 'hypothesise' in a short sentence.
hypothesised,	誤って,I hypothesised the report.
hypothesises,	エラー,We found several hypothesises.
hypothesising,エスニック,They are hypothesising the results.
hypothesize,	エスニシティ,Try to use the word 'hypothesize' in a short sentence.
hypothesized,ゴール,I hypothesized the report.
hypothesizes,	目標,We found several hypothesizes.
hypothesizing,叶える,They are hypothesizing the results.
hypothetical,	付与,Try to use the word 'hypothetical' in a short sentence.
hypothetically,	付与,Try to use the word 'hypothetically' in a short sentence.
implement,	補助 金,Try to use the word 'implement' in a short sentence.
implementation,従って,Try to use the word 'implementation' in a short sentence.
implemented,仮説,I implemented the report.
implementing,	仮説,They are implementing the results.
implements,	仮説,We found several implements.
implicate,	仮説,Try to use the word 'implicate' in a short sentence.
implicated,	仮説,I implicated the report.
implicates,	仮説を立てる,We found several implicates.
implicating,	仮定する,They are implicating the results.
implication,	仮説,Try to use the word 'implication' in a short sentence.
implications,	仮説を立てる,We found several implications.
impose,	仮説を立てる,Try to use the word 'impose' in a short sentence.
imposed,	仮定の,I imposed the report.
imposes,	仮に,We found several imposes.
imposing,道具,They are imposing the results.
imposition,	実装,Try to use the word 'imposition' in a short sentence.
integrate,	実装,Try to use the word 'integrate' in a short sentence.
integrated,	実装,I integrated the report.
integrates,	用具,We found several integrates.
integrating,拕,They are integrating the results.
integration,	関与,Try to use the word 'integration' in a short sentence.
internal,	関与,Try to use the word 'internal' in a short sentence.
internalise,	関与させる,Try to use the word 'internalise' in a short sentence.
