English,Japanese,context
normalisation,	維持,"The concept of 'normalisation' plays an important role in many real-life situations, helping us better understand and use it effectively."
normalise,	維持,"The concept of 'normalise' plays an important role in many real-life situations, helping us better understand and use it effectively."
normalised,	維持,I normalised the report.
normalises,	メンテナンス,We found several normalises.
normalising,正常,They are normalising the results.
normalization,	異常,"The concept of 'normalization' plays an important role in many real-life situations, helping us better understand and use it effectively."
normalize,	異常に,"The concept of 'normalize' plays an important role in many real-life situations, helping us better understand and use it effectively."
normalized,	正常化,I normalized the report.
normalizes,	正規化,We found several normalizes.
normalizing,	正規化,They are normalizing the results.
normality,	標準化,"The concept of 'normality' plays an important role in many real-life situations, helping us better understand and use it effectively."
normally,	正規化,"The concept of 'normally' plays an important role in many real-life situations, helping us better understand and use it effectively."
obtain,	正常化,"The concept of 'obtain' plays an important role in many real-life situations, helping us better understand and use it effectively."
obtainable,	ノーマライズ,"The concept of 'obtainable' plays an important role in many real-life situations, helping us better understand and use it effectively."
obtained,	正規化,I obtained the report.
obtaining,	正規化,They are obtaining the results.
obtains,	正規化,We found several obtains.
unobtainable,	正常,"The concept of 'unobtainable' plays an important role in many real-life situations, helping us better understand and use it effectively."
participate,	通常であれば,"The concept of 'participate' plays an important role in many real-life situations, helping us better understand and use it effectively."
participant,手に入る,"The concept of 'participant' plays an important role in many real-life situations, helping us better understand and use it effectively."
participants,	得 られる,We found several participants.
participated,	取得,I participated the report.
participates,	入手,We found several participates.
participating,	取得,They are participating the results.
participation,	入らない,"The concept of 'participation' plays an important role in many real-life situations, helping us better understand and use it effectively."
participatory,参加する,"The concept of 'participatory' plays an important role in many real-life situations, helping us better understand and use it effectively."
perceive,	参加者,"The concept of 'perceive' plays an important role in many real-life situations, helping us better understand and use it effectively."
perceived,	参加者,I perceived the report.
perceives,	参加,We found several perceives.
perceiving,	参加,They are perceiving the results.
perception,	参加,"The concept of 'perception' plays an important role in many real-life situations, helping us better understand and use it effectively."
perceptions,	参加,We found several perceptions.
positive,	参加,"The concept of 'positive' plays an important role in many real-life situations, helping us better understand and use it effectively."
positively,悟る,"The concept of 'positively' plays an important role in many real-life situations, helping us better understand and use it effectively."
potential,	知覚,"The concept of 'potential' plays an important role in many real-life situations, helping us better understand and use it effectively."
potentially,	認識,"The concept of 'potentially' plays an important role in many real-life situations, helping us better understand and use it effectively."
previous,	知覚,We found several previous.
previously,	知覚,"The concept of 'previously' plays an important role in many real-life situations, helping us better understand and use it effectively."
primary,	認識,"The concept of 'primary' plays an important role in many real-life situations, helping us better understand and use it effectively."
primarily,＋,"The concept of 'primarily' plays an important role in many real-life situations, helping us better understand and use it effectively."
purchase,	積極的に,"The concept of 'purchase' plays an important role in many real-life situations, helping us better understand and use it effectively."
purchased,ポテンシャル,I purchased the report.
purchaser,	可能性,She is an purchaser.
purchasers,先の,We found several purchasers.
purchases,	先に,We found several purchases.
purchasing,原発,They are purchasing the results.
range,	元来,"The concept of 'range' plays an important role in many real-life situations, helping us better understand and use it effectively."
ranged,買う,I ranged the report.
ranges,	購入,We found several ranges.
ranging,	買主,They are ranging the results.
region,	購入,"The concept of 'region' plays an important role in many real-life situations, helping us better understand and use it effectively."
regional,	購入,"The concept of 'regional' plays an important role in many real-life situations, helping us better understand and use it effectively."
regionally,	購買,"The concept of 'regionally' plays an important role in many real-life situations, helping us better understand and use it effectively."
regions,範囲,We found several regions.
regulate,	範囲,"The concept of 'regulate' plays an important role in many real-life situations, helping us better understand and use it effectively."
deregulated,	範囲,I deregulated the report.
deregulates,	まで,We found several deregulates.
deregulating,地域,They are deregulating the results.
deregulation,	リージョナル,"The concept of 'deregulation' plays an important role in many real-life situations, helping us better understand and use it effectively."
regulated,	地方,I regulated the report.
regulates,	地域,We found several regulates.
regulating,治,They are regulating the results.
regulation,	規制 緩和,"The concept of 'regulation' plays an important role in many real-life situations, helping us better understand and use it effectively."
regulations,	規制緩和,We found several regulations.
regulator,	規制緩和,She is an regulator.
regulators,	ディレギュレーション,We found several regulators.
regulatory,	規制,"The concept of 'regulatory' plays an important role in many real-life situations, helping us better understand and use it effectively."
unregulated,	調節,I unregulated the report.
relevant,	規制,"The concept of 'relevant' plays an important role in many real-life situations, helping us better understand and use it effectively."
irrelevance,	規制,"The concept of 'irrelevance' plays an important role in many real-life situations, helping us better understand and use it effectively."
irrelevant,	規則,"The concept of 'irrelevant' plays an important role in many real-life situations, helping us better understand and use it effectively."
relevance,	制御器,"The concept of 'relevance' plays an important role in many real-life situations, helping us better understand and use it effectively."
reside,	レギュレータ,"The concept of 'reside' plays an important role in many real-life situations, helping us better understand and use it effectively."
resided,	規制,I resided the report.
residence,	野放図な,"The concept of 'residence' plays an important role in many real-life situations, helping us better understand and use it effectively."
resident,関連した,"The concept of 'resident' plays an important role in many real-life situations, helping us better understand and use it effectively."
residential,	見当違い,"The concept of 'residential' plays an important role in many real-life situations, helping us better understand and use it effectively."
residents,	無関係,We found several residents.
resides,	関連性,We found several resides.
residing,住む,They are residing the results.
resource,	住んで,"The concept of 'resource' plays an important role in many real-life situations, helping us better understand and use it effectively."
resourced,	居住,I resourced the report.
resourceful,	住民,"The concept of 'resourceful' plays an important role in many real-life situations, helping us better understand and use it effectively."
resources,	住宅,We found several resources.
resourcing,	住民,They are resourcing the results.
unresourceful,	存在,"The concept of 'unresourceful' plays an important role in many real-life situations, helping us better understand and use it effectively."
under-resourced,	居住,I under-resourced the report.
restrict,資源,"The concept of 'restrict' plays an important role in many real-life situations, helping us better understand and use it effectively."
restricted,	リソース供給,I restricted the report.
restricting,	才略の有る,They are restricting the results.
restriction,	リソース,"The concept of 'restriction' plays an important role in many real-life situations, helping us better understand and use it effectively."
restrictions,	リソーシング,We found several restrictions.
restrictive,	機知に乏しい,"The concept of 'restrictive' plays an important role in many real-life situations, helping us better understand and use it effectively."
restrictively,	リソース不足,"The concept of 'restrictively' plays an important role in many real-life situations, helping us better understand and use it effectively."
restricts,限る,We found several restricts.
unrestricted,	制限,I unrestricted the report.
unrestrictive,	制限,"The concept of 'unrestrictive' plays an important role in many real-life situations, helping us better understand and use it effectively."
secure,	拘束,"The concept of 'secure' plays an important role in many real-life situations, helping us better understand and use it effectively."
insecure,	制限,"The concept of 'insecure' plays an important role in many real-life situations, helping us better understand and use it effectively."
insecurities,	限定的,We found several insecurities.
insecurity,	制限的に,"The concept of 'insecurity' plays an important role in many real-life situations, helping us better understand and use it effectively."
secured,	制限,I secured the report.
securely,	無制限,"The concept of 'securely' plays an important role in many real-life situations, helping us better understand and use it effectively."
secures,	制限なし,We found several secures.
securing,牢,They are securing the results.
securities,	不安,We found several securities.
security,	不安,"The concept of 'security' plays an important role in many real-life situations, helping us better understand and use it effectively."
seek,	不安,"The concept of 'seek' plays an important role in many real-life situations, helping us better understand and use it effectively."
seeking,	確保,They are seeking the results.
seeks,	安全,We found several seeks.
sought,	確保,"The concept of 'sought' plays an important role in many real-life situations, helping us better understand and use it effectively."
select,	確保,"The concept of 'select' plays an important role in many real-life situations, helping us better understand and use it effectively."
selected,	証券,I selected the report.
selecting,	安全,They are selecting the results.
selection,探す,"The concept of 'selection' plays an important role in many real-life situations, helping us better understand and use it effectively."
selections,	求めて,We found several selections.
selective,	シーク,"The concept of 'selective' plays an important role in many real-life situations, helping us better understand and use it effectively."
selectively,	求めた,"The concept of 'selectively' plays an important role in many real-life situations, helping us better understand and use it effectively."
selector,選ぶ,She is an selector.
selectors,	入選,We found several selectors.
selects,	選択,We found several selects.
site,	選定,"The concept of 'site' plays an important role in many real-life situations, helping us better understand and use it effectively."
sites,	選択,We found several sites.
strategy,	選択,"The concept of 'strategy' plays an important role in many real-life situations, helping us better understand and use it effectively."
strategic,	選択,"The concept of 'strategic' plays an important role in many real-life situations, helping us better understand and use it effectively."
strategies,	セレクタ,We found several strategies.
strategically,	セレクター,"The concept of 'strategically' plays an important role in many real-life situations, helping us better understand and use it effectively."
strategist,	選択,"The concept of 'strategist' plays an important role in many real-life situations, helping us better understand and use it effectively."
strategists,敷地,We found several strategists.
survey,	サイト,"The concept of 'survey' plays an important role in many real-life situations, helping us better understand and use it effectively."
surveyed,戦略,I surveyed the report.
surveying,	戦略的な,They are surveying the results.
surveys,	戦略,We found several surveys.
text,	戦略 的,"The concept of 'text' plays an important role in many real-life situations, helping us better understand and use it effectively."
texts,	戦略家,We found several texts.
textual,	戦略,"The concept of 'textual' plays an important role in many real-life situations, helping us better understand and use it effectively."
tradition,アンケート,"The concept of 'tradition' plays an important role in many real-life situations, helping us better understand and use it effectively."
non traditional,	調査,"The concept of 'non traditional' plays an important role in many real-life situations, helping us better understand and use it effectively."
traditional,	測量,"The concept of 'traditional' plays an important role in many real-life situations, helping us better understand and use it effectively."
traditionalist,	調査,"The concept of 'traditionalist' plays an important role in many real-life situations, helping us better understand and use it effectively."
traditionally,テキスト,"The concept of 'traditionally' plays an important role in many real-life situations, helping us better understand and use it effectively."
traditions,	テキスト,We found several traditions.
transfer,	テキスト,She is an transfer.
transferable,伝統,"The concept of 'transferable' plays an important role in many real-life situations, helping us better understand and use it effectively."
transference,	非伝統的な,"The concept of 'transference' plays an important role in many real-life situations, helping us better understand and use it effectively."
transferred,	トラディショナル,I transferred the report.
transferring,	伝統主義者,They are transferring the results.
transfers,	伝統的,We found several transfers.
Sublist 3 of Academic Word List,	伝統,"The concept of 'Sublist 3 of Academic Word List' plays an important role in many real-life situations, helping us better understand and use it effectively."
alternative,移転,"The concept of 'alternative' plays an important role in many real-life situations, helping us better understand and use it effectively."
alternatively,	譲渡,"The concept of 'alternatively' plays an important role in many real-life situations, helping us better understand and use it effectively."
alternatives,	転移,We found several alternatives.
circumstance,	転送,"The concept of 'circumstance' plays an important role in many real-life situations, helping us better understand and use it effectively."
circumstances,	転送,We found several circumstances.
comment,	転送,"The concept of 'comment' plays an important role in many real-life situations, helping us better understand and use it effectively."
commentaries,,We found several commentaries.
commentary,アカデミックワードリストのサブリスト3,"The concept of 'commentary' plays an important role in many real-life situations, helping us better understand and use it effectively."
commentator,,She is an commentator.
commentators,,We found several commentators.
commented,オルターナティブ,I commented the report.
commenting,	また,They are commenting the results.
comments,	選択肢,We found several comments.
compensate,事情,"The concept of 'compensate' plays an important role in many real-life situations, helping us better understand and use it effectively."
compensated,	状況,I compensated the report.
compensates,コメント,We found several compensates.
compensating,	論評,They are compensating the results.
compensation,	解説,"The concept of 'compensation' plays an important role in many real-life situations, helping us better understand and use it effectively."
compensations,	コメンテーター,We found several compensations.
compensatory,	コメンテーター,"The concept of 'compensatory' plays an important role in many real-life situations, helping us better understand and use it effectively."
component,	コメント,"The concept of 'component' plays an important role in many real-life situations, helping us better understand and use it effectively."
componentry,	コメント,"The concept of 'componentry' plays an important role in many real-life situations, helping us better understand and use it effectively."
components,	コメント,We found several components.
consent,補償する,"The concept of 'consent' plays an important role in many real-life situations, helping us better understand and use it effectively."
consensus,	補償,We found several consensus.
consented,	補正,I consented the report.
consenting,	補償,They are consenting the results.
consents,	補償,We found several consents.
considerable,	補償,"The concept of 'considerable' plays an important role in many real-life situations, helping us better understand and use it effectively."
considerably,	代償,"The concept of 'considerably' plays an important role in many real-life situations, helping us better understand and use it effectively."
constant,コンポーネント,"The concept of 'constant' plays an important role in many real-life situations, helping us better understand and use it effectively."
constancy,	コンポーネント,"The concept of 'constancy' plays an important role in many real-life situations, helping us better understand and use it effectively."
constantly,	コンポーネント,"The concept of 'constantly' plays an important role in many real-life situations, helping us better understand and use it effectively."
constants,同意,We found several constants.
inconstancy,	コンセンサス,"The concept of 'inconstancy' plays an important role in many real-life situations, helping us better understand and use it effectively."
inconstantly,	同意,"The concept of 'inconstantly' plays an important role in many real-life situations, helping us better understand and use it effectively."
constrain,	同意,"The concept of 'constrain' plays an important role in many real-life situations, helping us better understand and use it effectively."
constrained,	同意,I constrained the report.
constraining,かなり,They are constraining the results.
constrains,	大分,We found several constrains.
constraint,定数,"The concept of 'constraint' plays an important role in many real-life situations, helping us better understand and use it effectively."
constraints,	恒常,We found several constraints.
unconstrained,	絶えず,I unconstrained the report.
contribute,	定数,"The concept of 'contribute' plays an important role in many real-life situations, helping us better understand and use it effectively."
contributed,	心変わり,I contributed the report.
contributes,	不定休,We found several contributes.
contributing,制約,They are contributing the results.
contribution,	制約,"The concept of 'contribution' plays an important role in many real-life situations, helping us better understand and use it effectively."
contributions,	制約,We found several contributions.
contributor,	制約,She is an contributor.
contributors,	制約,We found several contributors.
convene,	制約,"The concept of 'convene' plays an important role in many real-life situations, helping us better understand and use it effectively."
convention,	洒脱,"The concept of 'convention' plays an important role in many real-life situations, helping us better understand and use it effectively."
convenes,貢献する,We found several convenes.
convened,	貢献,I convened the report.
convening,	貢献,They are convening the results.
conventional,	貢献,"The concept of 'conventional' plays an important role in many real-life situations, helping us better understand and use it effectively."
conventionally,	寄付,"The concept of 'conventionally' plays an important role in many real-life situations, helping us better understand and use it effectively."
conventions,	貢献,We found several conventions.
unconventional,	投稿者,"The concept of 'unconventional' plays an important role in many real-life situations, helping us better understand and use it effectively."
coordinate,	貢献,"The concept of 'coordinate' plays an important role in many real-life situations, helping us better understand and use it effectively."
coordinated,呼び集める,I coordinated the report.
coordinates,	大会,We found several coordinates.
coordinating,	規則	,They are coordinating the results.
coordination,	招集,"The concept of 'coordination' plays an important role in many real-life situations, helping us better understand and use it effectively."
coordinator,	招集,She is an coordinator.
coordinators,	コンベンショナル,We found several coordinators.
co-ordinate,	従来は,"The concept of 'co-ordinate' plays an important role in many real-life situations, helping us better understand and use it effectively."
co ordinated,	規則,I co ordinated the report.
co ordinates,	奇抜,We found several co ordinates.
co ordinating,座標,They are co ordinating the results.
co ordination,	調整,"The concept of 'co ordination' plays an important role in many real-life situations, helping us better understand and use it effectively."
co ordinator,	座標,She is an co ordinator.
co ordinators,	調整,We found several co ordinators.
core,	コーディネーション,"The concept of 'core' plays an important role in many real-life situations, helping us better understand and use it effectively."
cores,	コーディネーター,We found several cores.
coring,	コーディネーター,They are coring the results.
cored,	コーディネート,I cored the report.
corporate,	調整,"The concept of 'corporate' plays an important role in many real-life situations, helping us better understand and use it effectively."
corporates,	座標,We found several corporates.
corporation,	調整,"The concept of 'corporation' plays an important role in many real-life situations, helping us better understand and use it effectively."
corporations,	コーディネーション,We found several corporations.
correspond,	コーディネーター,"The concept of 'correspond' plays an important role in many real-life situations, helping us better understand and use it effectively."
corresponded,	コーディネーター,I corresponded the report.
correspondence,コア,"The concept of 'correspondence' plays an important role in many real-life situations, helping us better understand and use it effectively."
corresponding,	コア,They are corresponding the results.
correspondingly,	コアリング,"The concept of 'correspondingly' plays an important role in many real-life situations, helping us better understand and use it effectively."
corresponds,	入り,We found several corresponds.
criteria,企業,"The concept of 'criteria' plays an important role in many real-life situations, helping us better understand and use it effectively."
criterion,	法人,"The concept of 'criterion' plays an important role in many real-life situations, helping us better understand and use it effectively."
deduce,	会社,"The concept of 'deduce' plays an important role in many real-life situations, helping us better understand and use it effectively."
deduced,	企業,I deduced the report.
deduces,対応,We found several deduces.
deducing,	対応,They are deducing the results.
deduction,	対応,"The concept of 'deduction' plays an important role in many real-life situations, helping us better understand and use it effectively."
deductions,	該当,We found several deductions.
demonstrate,	対応,"The concept of 'demonstrate' plays an important role in many real-life situations, helping us better understand and use it effectively."
demonstrable,	対応,"The concept of 'demonstrable' plays an important role in many real-life situations, helping us better understand and use it effectively."
demonstrably,条件,"The concept of 'demonstrably' plays an important role in many real-life situations, helping us better understand and use it effectively."
demonstrated,	基準,I demonstrated the report.
demonstrates,推測,We found several demonstrates.
demonstrating,	推定,They are demonstrating the results.
demonstration,	推論,"The concept of 'demonstration' plays an important role in many real-life situations, helping us better understand and use it effectively."
demonstrations,	控除,We found several demonstrations.
demonstrative,	控除,"The concept of 'demonstrative' plays an important role in many real-life situations, helping us better understand and use it effectively."
demonstratively,	控除,"The concept of 'demonstratively' plays an important role in many real-life situations, helping us better understand and use it effectively."
demonstrator,証明する,She is an demonstrator.
demonstrators,	実証,We found several demonstrators.
document,	明白,"The concept of 'document' plays an important role in many real-life situations, helping us better understand and use it effectively."
documentation,	実証,"The concept of 'documentation' plays an important role in many real-life situations, helping us better understand and use it effectively."
documented,	示します,I documented the report.
documenting,	示す,They are documenting the results.
documents,	デモ,We found several documents.
dominate,	デモ,"The concept of 'dominate' plays an important role in many real-life situations, helping us better understand and use it effectively."
dominance,	指示詞,"The concept of 'dominance' plays an important role in many real-life situations, helping us better understand and use it effectively."
dominant,	デモンストレーション的に,"The concept of 'dominant' plays an important role in many real-life situations, helping us better understand and use it effectively."
dominated,	デモンストレーター,I dominated the report.
dominates,	デモ 隊,We found several dominates.
dominating,文書,They are dominating the results.
domination,	ドキュメンテーション,"The concept of 'domination' plays an important role in many real-life situations, helping us better understand and use it effectively."
emphasis,	記載,We found several emphasis.
emphasise,	文書,"The concept of 'emphasise' plays an important role in many real-life situations, helping us better understand and use it effectively."
emphasised,	書類,I emphasised the report.
emphasising,支配する,They are emphasising the results.
emphasize,	優性,"The concept of 'emphasize' plays an important role in many real-life situations, helping us better understand and use it effectively."
emphasized,	ドミナント,I emphasized the report.
emphasizes,	支配,We found several emphasizes.
emphasizing,	支配,They are emphasizing the results.
emphatic,	支配,"The concept of 'emphatic' plays an important role in many real-life situations, helping us better understand and use it effectively."
emphatically,	支配,"The concept of 'emphatically' plays an important role in many real-life situations, helping us better understand and use it effectively."
ensure,強調,"The concept of 'ensure' plays an important role in many real-life situations, helping us better understand and use it effectively."
ensured,	強調,I ensured the report.
ensures,	強調,We found several ensures.
ensuring,	強調,They are ensuring the results.
exclude,	強調する,"The concept of 'exclude' plays an important role in many real-life situations, helping us better understand and use it effectively."
excluded,	強調,I excluded the report.
excludes,	強調,We found several excludes.
excluding,	強調,They are excluding the results.
exclusion,	強調,"The concept of 'exclusion' plays an important role in many real-life situations, helping us better understand and use it effectively."
exclusionary,	きっぱり,"The concept of 'exclusionary' plays an important role in many real-life situations, helping us better understand and use it effectively."
exclusionist,確保,"The concept of 'exclusionist' plays an important role in many real-life situations, helping us better understand and use it effectively."
exclusions,	確保,We found several exclusions.
exclusive,	により,"The concept of 'exclusive' plays an important role in many real-life situations, helping us better understand and use it effectively."
exclusively,	確保,"The concept of 'exclusively' plays an important role in many real-life situations, helping us better understand and use it effectively."
framework,除外する,"The concept of 'framework' plays an important role in many real-life situations, helping us better understand and use it effectively."
frameworks,	除外,We found several frameworks.
fund,	除外,"The concept of 'fund' plays an important role in many real-life situations, helping us better understand and use it effectively."
funded,	除く,I funded the report.
funder,	除外,She is an funder.
funders,	排他的,We found several funders.
funding,	排他主義者,They are funding the results.
funds,	除外,We found several funds.
illustrate,	排他的,"The concept of 'illustrate' plays an important role in many real-life situations, helping us better understand and use it effectively."
illustrated,	だけ,I illustrated the report.
illustrates,フレームワーク,We found several illustrates.
illustrating,	フレームワーク,They are illustrating the results.
illustration,基金,"The concept of 'illustration' plays an important role in many real-life situations, helping us better understand and use it effectively."
illustrations,	資金,We found several illustrations.
illustrative,	資金提供者,"The concept of 'illustrative' plays an important role in many real-life situations, helping us better understand and use it effectively."
immigrate,	出資,"The concept of 'immigrate' plays an important role in many real-life situations, helping us better understand and use it effectively."
immigrant,	融資,"The concept of 'immigrant' plays an important role in many real-life situations, helping us better understand and use it effectively."
immigrants,	元手,We found several immigrants.
immigrated,説明,I immigrated the report.
immigrates,	示す,We found several immigrates.
immigrating,	示します,They are immigrating the results.
immigration,	示す,"The concept of 'immigration' plays an important role in many real-life situations, helping us better understand and use it effectively."
imply,	図,"The concept of 'imply' plays an important role in many real-life situations, helping us better understand and use it effectively."
implied,	イラスト,I implied the report.
implies,	例示,We found several implies.
implying,移民する,They are implying the results.
initial,	移民,"The concept of 'initial' plays an important role in many real-life situations, helping us better understand and use it effectively."
initially,	移民,"The concept of 'initially' plays an important role in many real-life situations, helping us better understand and use it effectively."
instance,	移住,"The concept of 'instance' plays an important role in many real-life situations, helping us better understand and use it effectively."
instances,	移民,We found several instances.
interact,	移住,"The concept of 'interact' plays an important role in many real-life situations, helping us better understand and use it effectively."
interacted,	イミグレーション,I interacted the report.
interacting,ほのめかす,They are interacting the results.
interaction,	暗黙,"The concept of 'interaction' plays an important role in many real-life situations, helping us better understand and use it effectively."
interactions,	意味,We found several interactions.
interactive,	意味,"The concept of 'interactive' plays an important role in many real-life situations, helping us better understand and use it effectively."
interactively,イニシャル,"The concept of 'interactively' plays an important role in many real-life situations, helping us better understand and use it effectively."
interacts,	最初,We found several interacts.
justify,例,"The concept of 'justify' plays an important role in many real-life situations, helping us better understand and use it effectively."
justifiable,	インスタンス,"The concept of 'justifiable' plays an important role in many real-life situations, helping us better understand and use it effectively."
justifiably,相呼応する,"The concept of 'justifiably' plays an important role in many real-life situations, helping us better understand and use it effectively."
justification,	相互 作用,"The concept of 'justification' plays an important role in many real-life situations, helping us better understand and use it effectively."
justifications,	相互 作用,We found several justifications.
justified,	相互作用,I justified the report.
justifies,	相互 作用,We found several justifies.
justifying,	インテラクティブ,They are justifying the results.
unjustified,	対話的,I unjustified the report.
layer,	対話,She is an layer.
layered,言い開く,I layered the report.
layering,	正当,They are layering the results.
layers,	正当,We found several layers.
link,	ジャスティフィケーション,"The concept of 'link' plays an important role in many real-life situations, helping us better understand and use it effectively."
linkage,	正当 化,"The concept of 'linkage' plays an important role in many real-life situations, helping us better understand and use it effectively."
linkages,	正当 化,We found several linkages.
linked,	正当 化,I linked the report.
linking,	正当 化,They are linking the results.
links,	不当,We found several links.
locate,層,"The concept of 'locate' plays an important role in many real-life situations, helping us better understand and use it effectively."
located,	層状,I located the report.
locating,	取り木,They are locating the results.
location,	層,"The concept of 'location' plays an important role in many real-life situations, helping us better understand and use it effectively."
locations,リンク,We found several locations.
relocate,	連動,"The concept of 'relocate' plays an important role in many real-life situations, helping us better understand and use it effectively."
relocated,	連携,I relocated the report.
relocates,	リンク,We found several relocates.
relocating,	リンク,They are relocating the results.
relocation,	リンクス,"The concept of 'relocation' plays an important role in many real-life situations, helping us better understand and use it effectively."
maximise,見付ける,"The concept of 'maximise' plays an important role in many real-life situations, helping us better understand and use it effectively."
max,	位置,"The concept of 'max' plays an important role in many real-life situations, helping us better understand and use it effectively."
maximised,	検索,I maximised the report.
maximises,	場所,We found several maximises.
maximising,	場所,They are maximising the results.
maximisation,	移転,"The concept of 'maximisation' plays an important role in many real-life situations, helping us better understand and use it effectively."
maximize,	移転,"The concept of 'maximize' plays an important role in many real-life situations, helping us better understand and use it effectively."
maximized,	移転,I maximized the report.
maximizes,	移転,We found several maximizes.
maximizing,	移転,They are maximizing the results.
maximization,最大限,"The concept of 'maximization' plays an important role in many real-life situations, helping us better understand and use it effectively."
maximum,	マックス,"The concept of 'maximum' plays an important role in many real-life situations, helping us better understand and use it effectively."
minor,	最大化,She is an minor.
minorities,	最大,We found several minorities.
minority,	最大限,"The concept of 'minority' plays an important role in many real-life situations, helping us better understand and use it effectively."
minors,	最大化,We found several minors.
negate,	最大化する,"The concept of 'negate' plays an important role in many real-life situations, helping us better understand and use it effectively."
negative,	最大,"The concept of 'negative' plays an important role in many real-life situations, helping us better understand and use it effectively."
negated,	マキシム,I negated the report.
negates,	最大,We found several negates.
negating,	最大化,They are negating the results.
negatively,	最大,"The concept of 'negatively' plays an important role in many real-life situations, helping us better understand and use it effectively."
negatives,マイナー,We found several negatives.
outcome,	少数,"The concept of 'outcome' plays an important role in many real-life situations, helping us better understand and use it effectively."
outcomes,	少数,We found several outcomes.
partner,	未成年 者,She is an partner.
partners,打ち消す,We found several partners.
partnership,	－,"The concept of 'partnership' plays an important role in many real-life situations, helping us better understand and use it effectively."
partnerships,	否定,We found several partnerships.
philosophy,	否定,"The concept of 'philosophy' plays an important role in many real-life situations, helping us better understand and use it effectively."
philosopher,	否定,She is an philosopher.
philosophers,	負,We found several philosophers.
philosophical,	ネガ,"The concept of 'philosophical' plays an important role in many real-life situations, helping us better understand and use it effectively."
philosophically,結果,"The concept of 'philosophically' plays an important role in many real-life situations, helping us better understand and use it effectively."
philosophies,	結果,We found several philosophies.
philosophise,パートナー,"The concept of 'philosophise' plays an important role in many real-life situations, helping us better understand and use it effectively."
philosophised,	パートナー,I philosophised the report.
philosophises,	パートナーシップ,We found several philosophises.
philosophising,	パートナーシップ,They are philosophising the results.
philosophize,哲学,"The concept of 'philosophize' plays an important role in many real-life situations, helping us better understand and use it effectively."
philosophized,	哲人,I philosophized the report.
philosophizes,	哲学 者,We found several philosophizes.
philosophizing,	哲学的,They are philosophizing the results.
physical,	哲学,"The concept of 'physical' plays an important role in many real-life situations, helping us better understand and use it effectively."
physically,	哲学,"The concept of 'physically' plays an important role in many real-life situations, helping us better understand and use it effectively."
proportion,	フィロソフィー,"The concept of 'proportion' plays an important role in many real-life situations, helping us better understand and use it effectively."
disproportion,	哲学的,"The concept of 'disproportion' plays an important role in many real-life situations, helping us better understand and use it effectively."
disproportionate,	哲学的,"The concept of 'disproportionate' plays an important role in many real-life situations, helping us better understand and use it effectively."
disproportionately,	哲学,"The concept of 'disproportionately' plays an important role in many real-life situations, helping us better understand and use it effectively."
proportional,	思索,"The concept of 'proportional' plays an important role in many real-life situations, helping us better understand and use it effectively."
proportionally,	哲学的,"The concept of 'proportionally' plays an important role in many real-life situations, helping us better understand and use it effectively."
proportionate,	哲学,"The concept of 'proportionate' plays an important role in many real-life situations, helping us better understand and use it effectively."
proportionately,	哲学,"The concept of 'proportionately' plays an important role in many real-life situations, helping us better understand and use it effectively."
proportions,形而下,We found several proportions.
publish,	物理的,"The concept of 'publish' plays an important role in many real-life situations, helping us better understand and use it effectively."
published,比率,I published the report.
publisher,	不均衡,She is an publisher.
publishers,	不均衡,We found several publishers.
publishes,	偏って,We found several publishes.
publishing,	比例,They are publishing the results.
unpublished,	比例,I unpublished the report.
react,	比例,"The concept of 'react' plays an important role in many real-life situations, helping us better understand and use it effectively."
reacted,	比例,I reacted the report.
reacts,	割合,We found several reacts.
reacting,著す,They are reacting the results.
reaction,	公開,"The concept of 'reaction' plays an important role in many real-life situations, helping us better understand and use it effectively."
reactionaries,	発行者,We found several reactionaries.
reactionary,	出版 社,"The concept of 'reactionary' plays an important role in many real-life situations, helping us better understand and use it effectively."
reactions,	発行,We found several reactions.
reactive,	出版,"The concept of 'reactive' plays an important role in many real-life situations, helping us better understand and use it effectively."
reactivate,	未発表,"The concept of 'reactivate' plays an important role in many real-life situations, helping us better understand and use it effectively."
reactivation,反応する,"The concept of 'reactivation' plays an important role in many real-life situations, helping us better understand and use it effectively."
reactor,	反応,She is an reactor.
reactors,	反応,We found several reactors.
register,	反応,She is an register.
deregister,	反応,She is an deregister.
deregistered,	反動,I deregistered the report.
deregistering,	反動,They are deregistering the results.
deregisters,	反応,We found several deregisters.
deregistration,	反応,"The concept of 'deregistration' plays an important role in many real-life situations, helping us better understand and use it effectively."
registered,	再 アクティブ 化,I registered the report.
registering,	再 アクティブ 化,They are registering the results.
registers,	原子炉,We found several registers.
registration,	原子炉,"The concept of 'registration' plays an important role in many real-life situations, helping us better understand and use it effectively."
rely,登録する,"The concept of 'rely' plays an important role in many real-life situations, helping us better understand and use it effectively."
reliability,	登録解除,"The concept of 'reliability' plays an important role in many real-life situations, helping us better understand and use it effectively."
reliable,	登録抹消,"The concept of 'reliable' plays an important role in many real-life situations, helping us better understand and use it effectively."
reliably,	登録解除,"The concept of 'reliably' plays an important role in many real-life situations, helping us better understand and use it effectively."
reliance,	登録解除,"The concept of 'reliance' plays an important role in many real-life situations, helping us better understand and use it effectively."
reliant,	登録解除,"The concept of 'reliant' plays an important role in many real-life situations, helping us better understand and use it effectively."
relied,	登録,I relied the report.
relies,	登録,We found several relies.
relying,	レジスタ,They are relying the results.
